SessionID,IsBot,DateCreated_Message,Active,DateCreated_Session,DateUpdated_Session
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,0,2025-03-03 09:27:52.5466667 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,1,2025-03-03 09:27:54.4033333 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,0,2025-03-03 09:28:04.9100000 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,1,2025-03-03 09:28:09.3400000 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,0,2025-03-03 09:28:38.9200000 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
R2Yqtge0-i2s9TEOgIjsLNhdGUipO0e8WRpxIpPhYOo,1,2025-03-03 09:28:47.7000000 +00:00,0,2025-03-03 09:27:37.4000000 +00:00,2025-03-04 00:15:32.0166667 +00:00
eOUUo8mWMLEn4X5GSjKZ16Wq48URZKrKsAPmaX_DCQU,0,2025-03-03 11:47:15.4300000 +00:00,0,2025-03-03 10:56:09.8600000 +00:00,2025-03-04 09:15:32.0066667 +00:00
eOUUo8mWMLEn4X5GSjKZ16Wq48URZKrKsAPmaX_DCQU,1,2025-03-03 11:47:25.9066667 +00:00,0,2025-03-03 10:56:09.8600000 +00:00,2025-03-04 09:15:32.0066667 +00:00
eOUUo8mWMLEn4X5GSjKZ16Wq48URZKrKsAPmaX_DCQU,0,2025-03-03 17:53:45.7233333 +00:00,0,2025-03-03 10:56:09.8600000 +00:00,2025-03-04 09:15:32.0066667 +00:00
eOUUo8mWMLEn4X5GSjKZ16Wq48URZKrKsAPmaX_DCQU,1,2025-03-03 17:53:53.9800000 +00:00,0,2025-03-03 10:56:09.8600000 +00:00,2025-03-04 09:15:32.0066667 +00:00
